QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:06:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
420580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
421000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
421010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
421020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
421030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
421041, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421050, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421060, 0.0175312, 1.74961, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421070, 0.0455811, 2.80499, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421081, 0.0736311, 2.79798, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421091, 0.105187, 3.15562, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421100, 0.147262, 4.211, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421110, 0.192843, 4.5511, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421121, 0.238424, 4.56162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421131, 0.287512, 4.90173, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421140, 0.336599, 4.90874, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421150, 0.389193, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421160, 0.441786, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421171, 0.497886, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421180, 0.55048, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421190, 0.60658, 5.26287, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421200, 0.66268, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421211, 0.71878, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421220, 0.774879, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421230, 0.830979, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421240, 0.887079, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421251, 0.946685, 5.96061, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421261, 1.00279, 5.59596, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421270, 1.05538, 5.26638, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421280, 1.11148, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421291, 1.16407, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421301, 1.22017, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421310, 1.27627, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421320, 1.33237, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421330, 1.38847, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421341, 1.44808, 5.94659, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
