QGPIORecord, QRC v6.1.0, 22-12-2021 @ 14:56:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, trajX, trajY, trajTheta, e1, e2, e3, v, omega, -
557426, -0.293626, -0.200375, 0.00158556, -0.286404, -0.199997, 0, 0.00722215, 0.000378013, -0.00158556, 0.0361137, 0.000881472, 0
557435, -0.292981, -0.200383, 0.00156142, -0.286203, -0.199997, 0, 0.00677821, 0.000385717, -0.00156142, 0.033894, 0.000938807, 0
557446, -0.292417, -0.200389, 0.0015454, -0.286001, -0.199997, 0, 0.00641572, 0.000392318, -0.0015454, 0.0320816, 0.000984771, 0
557456, -0.291723, -0.200395, 0.00152887, -0.2858, -0.199997, 0, 0.00592315, 0.000398487, -0.00152887, 0.0296188, 0.00102983, 0
557466, -0.291317, -0.2004, 0.00152356, -0.285598, -0.199997, 0, 0.00571907, 0.000403449, -0.00152356, 0.0285984, 0.00105954, 0
557476, -0.29076, -0.200405, 0.00151731, -0.285397, -0.199997, 0, 0.0053626, 0.000408053, -0.00151731, 0.0268161, 0.00108919, 0
557486, -0.290471, -0.20024, 0.00192789, -0.285195, -0.199997, 0, 0.00527528, 0.00024274, -0.00192789, 0.0263787, 6.10936e-06, 0
557496, -0.290014, -0.200261, 0.00185694, -0.285003, -0.199997, 0, 0.00501031, 0.000264019, -0.00185694, 0.0250539, 0.000159406, 0
557506, -0.289612, -0.20028, 0.00180276, -0.284802, -0.199997, 0, 0.00480995, 0.000282645, -0.00180276, 0.0240522, 0.000288213, 0
557516, -0.289457, -0.200295, 0.00177493, -0.2846, -0.199997, 0, 0.00485697, 0.000298053, -0.00177493, 0.0242875, 0.0003822, 0
557526, -0.289115, -0.20031, 0.00174052, -0.284399, -0.199997, 0, 0.00471646, 0.000312701, -0.00174052, 0.023585, 0.000478144, 0
557536, -0.289012, -0.200322, 0.00172202, -0.284198, -0.199997, 0, 0.00481495, 0.000325099, -0.00172202, 0.0240775, 0.000550824, 0
557546, -0.288915, -0.20025, 0.00188516, -0.283996, -0.199997, 0, 0.00491872, 0.000253335, -0.00188516, 0.024596, 8.92107e-05, 0
557556, -0.288622, -0.200352, 0.00166773, -0.283804, -0.199997, 0, 0.00481796, 0.000355303, -0.00166773, 0.0240927, 0.000735702, 0
557565, -0.288561, -0.200361, 0.00165818, -0.283602, -0.199997, 0, 0.00495881, 0.000363633, -0.00165818, 0.024797, 0.000782145, 0
557576, -0.2883, -0.200286, 0.00182082, -0.283401, -0.199997, 0, 0.00489882, 0.000288799, -0.00182082, 0.0244967, 0.000306902, 0
