QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
527410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
