QGPIORecord, QRC v6.1.0, 22-11-2021 @ 10:56:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, rA, VoltageState, PositionB, VelocitiyB, CurrentA, CurrentB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
167400, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
167410, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
167420, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167431, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167440, 0, 0, 1, 0, 0, 0.00298024, -0.00298024, 0, 0, 0, 0, 0
167450, 0, 0, 1, 0, 0, 0.0476838, 0, 0, 0, 0, 0, 0
167460, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167471, 0, 0, 1, 0, 0, -0.00894071, 0.0387431, 0, 0, 0, 0, 0
167480, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167490, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167500, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167511, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
167520, 0, 0, 1, 0, 0, -0.00596047, 0.0476838, 0, 0, 0, 0, 0
167530, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
167540, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167550, 0, 0, 1, 0, 0, 0.0387431, 0.00298024, 0, 0, 0, 0, 0
167560, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167570, 0, 0, 1, 0, 0, -0.00894071, 0.0417233, 0, 0, 0, 0, 0
167580, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
167590, 0, 0, 1, 0, 0, 0.0327826, 0.00596047, 0, 0, 0, 0, 0
167601, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167610, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167620, 0, 0, 1, 0, 0, 0.00298024, -0.00894071, 0, 0, 0, 0, 0
167630, 0, 0, 1, 0, 0, -0.00298024, -0.00596047, 0, 0, 0, 0, 0
167641, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
167650, 0, 0, 1, 0, 0, 0.00894071, -0.00894071, 0, 0, 0, 0, 0
167660, 0, 0, 1, 0, 0, 0.0447035, 0.00298024, 0, 0, 0, 0, 0
167670, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
