QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
68130, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68141, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68150, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68160, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68170, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68180, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68190, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68200, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68210, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68220, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68230, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68240, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68250, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68260, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68271, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68280, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68290, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68300, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68311, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68320, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68330, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68340, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68350, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68360, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68370, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68380, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68390, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68400, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68410, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68420, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68430, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68441, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68450, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68460, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68470, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68481, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68490, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68500, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68510, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68520, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68530, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68540, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68550, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68560, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68570, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68580, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68590, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68600, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68611, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68620, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68630, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68640, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68651, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68660, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68670, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68680, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68690, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68700, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68710, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68720, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68730, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68740, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68750, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68760, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68770, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68781, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68790, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68800, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68810, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68820, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68830, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68840, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68850, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68860, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68870, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68880, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68890, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68900, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68911, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68920, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68930, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68940, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68951, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68960, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68970, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68980, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68990, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69000, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69010, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69020, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69030, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69040, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69050, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69060, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69070, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69081, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69090, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69100, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69110, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69121, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69130, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69140, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69150, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69160, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69170, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69180, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69190, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69200, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69210, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69220, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69230, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69240, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69251, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
