QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:30:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, y1, y2, x1, x2, x3, P11, P12, P22, P13, P23, P33, ValueIn11
961711, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961720, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961730, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961740, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961751, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961760, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961770, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961780, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961790, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961800, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
