QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:51:24, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
578691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578700, 0, 0, 0, 0, 0, 0.00298024, 0.00298024, 0, 0, 0, 0, 0
578710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578731, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
578740, 0, 0, 1, 0, 0, 0.0357628, 0.0387431, 0, 0, 0, 0, 0
578750, 0.0701248, 7.00547, 1, 0.0736311, 7.32454, 0.435114, 0.438095, 0, 0, 0, 0, 0
578760, 0.220893, 15.0628, 1, 0.224399, 15.0453, 0.414253, 0.399352, 0, 0, 0, 0, 0
578770, 0.406724, 18.5831, 1, 0.41023, 18.9407, 0.327826, 0.312925, 0, 0, 0, 0, 0
578781, 0.610086, 20.3257, 1, 0.613592, 20.3187, 0.25928, 0.24736, 0, 0, 0, 0, 0
578790, 0.816954, 21.0445, 1, 0.823967, 21.0375, 0.217557, 0.205636, 0, 0, 0, 0, 0
578800, 1.03434, 21.7282, 1, 1.04135, 21.7387, 0.181794, 0.175834, 0, 0, 0, 0, 0
578810, 1.25523, 21.7387, 1, 1.25874, 21.7387, 0.166893, 0.166893, 0, 0, 0, 0, 0
578821, 1.47613, 22.1069, 1, 1.46912, 21.0375, 0.149012, 0.175834, 0, 0, 0, 0, 0
578830, 1.69702, 22.4399, 1, 1.67949, 21.0199, 0.146032, 0.190735, 0, 0, 0, 0, 0
578840, 1.91791, 22.0788, 1, 1.88986, 21.062, 0.149012, 0.187755, 0, 0, 0, 0, 0
578850, 2.13881, 22.0683, 1, 2.10024, 21.3705, 0.146032, 0.184775, 0, 0, 0, 0, 0
578861, 2.35619, 21.7527, 1, 2.31412, 21.0515, 0.154972, 0.184775, 0, 0, 0, 0, 0
578871, 2.57358, 21.353, 1, 2.52449, 21.0199, 0.166893, 0.184775, 0, 0, 0, 0, 0
578880, 2.79097, 21.7703, 1, 2.73837, 21.4021, 0.160933, 0.175834, 0, 0, 0, 0, 0
578890, 3.01537, 22.4119, 1, 2.95226, 21.3776, 0.146032, 0.175834, 0, 0, 0, 0, 0
