QGPIORecord, QRC v6.1.0, 17-12-2021 @ 17:00:05, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
26752, -0.163741, -0.278531, -1.60396, 0.646684, 0.0458855, 0.517206, 2.53162, 0.653458, 53.8434, 0.156633, 0.148539, 0
26762, -0.163748, -0.278731, -1.60396, 0.648699, 0.0459993, 0.518198, 2.54238, 0.653101, 53.9434, 0.156633, 0.148539, 0
26772, -0.163754, -0.27893, -1.60396, 0.650717, 0.0461129, 0.519189, 2.55317, 0.652743, 54.0434, 0.156633, 0.148539, 0
26782, -0.163761, -0.27913, -1.60396, 0.65274, 0.0462263, 0.52018, 2.56397, 0.652385, 54.1434, 0.156633, 0.148539, 0
26792, -0.163768, -0.27933, -1.60396, 0.654767, 0.0463397, 0.521171, 2.57479, 0.652026, 54.2434, 0.156633, 0.148539, 0
26802, -0.163774, -0.27953, -1.60396, 0.656799, 0.0464529, 0.522163, 2.58563, 0.651666, 54.3434, 0.156633, 0.148539, 0
26812, -0.163781, -0.27973, -1.60396, 0.658835, 0.0465659, 0.523154, 2.5965, 0.651306, 54.4434, 0.156633, 0.148539, 0
26822, -0.163787, -0.27993, -1.60396, 0.660875, 0.0466788, 0.524145, 2.60738, 0.650945, 54.5434, 0.156633, 0.148539, 0
26832, -0.163794, -0.28013, -1.60396, 0.662919, 0.0467916, 0.525137, 2.61828, 0.650583, 54.6434, 0.156633, 0.148539, 0
26842, -0.163801, -0.28033, -1.60396, 0.664968, 0.0469042, 0.526128, 2.62921, 0.650221, 54.7434, 0.156633, 0.148539, 0
26852, -0.163807, -0.280529, -1.60396, 0.667021, 0.0470166, 0.52712, 2.64015, 0.649858, 54.8434, 0.156633, 0.148539, 0
26862, -0.163814, -0.280729, -1.60396, 0.669079, 0.047129, 0.528111, 2.65111, 0.649494, 54.9434, 0.156633, 0.148539, 0
26872, -0.163821, -0.280929, -1.60396, 0.671141, 0.0472411, 0.529102, 2.66209, 0.64913, 55.0434, 0.156633, 0.148539, 0
26882, -0.163827, -0.281129, -1.60396, 0.673208, 0.0473532, 0.530094, 2.6731, 0.648765, 55.1434, 0.156633, 0.148539, 0
26892, -0.163834, -0.281329, -1.60396, 0.675278, 0.047465, 0.531085, 2.68412, 0.648399, 55.2434, 0.156633, 0.148539, 0
26902, -0.163841, -0.281529, -1.60396, 0.677354, 0.0475768, 0.532077, 2.69516, 0.648033, 55.3434, 0.156633, 0.148539, 0
26912, -0.163847, -0.281729, -1.60396, 0.679433, 0.0476884, 0.533068, 2.70622, 0.647666, 55.4434, 0.156633, 0.148539, 0
26923, -0.163854, -0.281929, -1.60396, 0.681517, 0.0477998, 0.534059, 2.71731, 0.647298, 55.5434, 0.156633, 0.148539, 0
26932, -0.16386, -0.282129, -1.60396, 0.683606, 0.0479111, 0.535051, 2.72841, 0.64693, 55.6434, 0.156633, 0.148539, 0
26942, -0.163867, -0.282328, -1.60396, 0.685699, 0.0480223, 0.536042, 2.73953, 0.646561, 55.7434, 0.156633, 0.148539, 0
26952, -0.163874, -0.282528, -1.60396, 0.687796, 0.0481333, 0.537034, 2.75067, 0.646191, 55.8434, 0.156633, 0.148539, 0
26962, -0.16388, -0.282728, -1.60396, 0.689898, 0.0482441, 0.538025, 2.76184, 0.645821, 55.9434, 0.156633, 0.148539, 0
26972, -0.163887, -0.282928, -1.60396, 0.692005, 0.0483548, 0.539016, 2.77302, 0.64545, 56.0434, 0.156633, 0.148539, 0
26982, -0.163894, -0.283128, -1.60396, 0.694115, 0.0484654, 0.540008, 2.78422, 0.645078, 56.1433, 0.156633, 0.148539, 0
26992, -0.1639, -0.283328, -1.60396, 0.696231, 0.0485758, 0.540999, 2.79544, 0.644706, 56.2433, 0.156633, 0.148539, 0
27002, -0.163907, -0.283528, -1.60396, 0.698351, 0.048686, 0.541991, 2.80669, 0.644333, 56.3433, 0.156633, 0.148539, 0
27012, -0.163913, -0.283728, -1.60396, 0.700475, 0.0487961, 0.542982, 2.81795, 0.643959, 56.4433, 0.156633, 0.148539, 0
27022, -0.16392, -0.283928, -1.60396, 0.702604, 0.0489061, 0.543974, 2.82923, 0.643585, 56.5433, 0.156633, 0.148539, 0
27032, -0.163927, -0.284127, -1.60396, 0.704737, 0.0490159, 0.544965, 2.84053, 0.64321, 56.6433, 0.156633, 0.148539, 0
27042, -0.163933, -0.284327, -1.60396, 0.706875, 0.0491256, 0.545956, 2.85186, 0.642834, 56.7433, 0.156633, 0.148539, 0
